"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","GUARANTEED STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","COMMISSION","GSL FEE","GSL PREMIUM","CONVERSION RATE","PL","AMOUNT","BALANCE"
"353","2025-07-08 14:15:06 +07","ORDER_FILL","MARKET_ORDER","USD/CHF","0.79584","49332.00","Sell","4.3387","","","","","0.00000","0.0000","0.0000","","","0.00000","","8721.72"
"354","2025-07-08 14:15:06 +07","MARKET_ORDER","CLIENT_ORDER","USD/CHF","","49332.00","Sell","","","","","","","","","","","","",""
"355","2025-07-08 14:15:06 +07","ORDER_FILL","MARKET_ORDER","USD/CHF","0.79584","49332.00","Sell","4.3387","","","","","0.00000","0.0000","0.0000","","","0.00000","","8721.72"
"356","2025-07-08 15:00:08 +07","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","33371.00","Buy","","","","","","","","","","","","",""
"357","2025-07-08 15:00:08 +07","ORDER_FILL","MARKET_ORDER","EUR/USD","1.17600","33371.00","Buy","1.5017","","","","","0.00000","0.0000","0.0000","","","0.00000","","8721.72"
"358","2025-07-08 15:00:08 +07","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","33371.00","Buy","","","","","","","","","","","","",""
"359","2025-07-08 15:00:08 +07","ORDER_CANCEL","INSUFFICIENT_MARGIN","","","","","","","","","","","","","","","","",""
"360","2025-07-08 15:45:07 +07","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","28840.00","Sell","","","","","","","","","","","","",""
"361","2025-07-08 15:45:07 +07","ORDER_CANCEL","INSUFFICIENT_MARGIN","","","","","","","","","","","","","","","","",""
"362","2025-07-08 15:45:07 +07","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","28840.00","Sell","","","","","","","","","","","","",""
"363","2025-07-08 15:45:07 +07","ORDER_CANCEL","INSUFFICIENT_MARGIN","","","","","","","","","","","","","","","","",""
"364","2025-07-08 16:00:06 +07","MARKET_ORDER","POSITION_CLOSEOUT","USD/CAD","","28200.00","Buy","","","","","","","","","","","","",""
"365","2025-07-08 16:00:06 +07","ORDER_FILL","MARKET_ORDER_POSITION_CLOSEOUT","USD/CAD","1.36461","28200.00","Buy","1.4466","","","","","0.00000","0.0000","0.0000","","0.7292","13.16030","","8734.88"
"366","2025-07-08 16:30:07 +07","MARKET_ORDER","CLIENT_ORDER","GBP/JPY","","198.00","Sell","","","","","","","","","","","","",""
